iter	Passed	Remaining
827	1515	314
828	1520	313
829	1522	311
830	1527	310
831	1529	308
832	1531	307
833	1533	305
834	1537	303
835	1539	302
836	1541	300
837	1543	298
838	1545	296
839	1546	294
840	1548	292
841	1550	290
842	1552	289
843	1553	287
844	1555	285
845	1556	283
846	1558	281
847	1559	279
848	1561	277
849	1562	275
850	1566	274
851	1568	272
852	1570	270
853	1572	268
854	1574	266
855	1576	265
856	1577	263
857	1578	261
858	1580	259
859	1582	257
860	1584	255
861	1585	253
862	1587	251
863	1588	250
864	1590	248
865	1591	246
866	1593	244
867	1596	242
868	1597	240
869	1599	238
870	1600	237
871	1602	235
872	1603	233
873	1605	231
874	1606	229
875	1608	227
876	1610	225
877	1612	224
878	1614	222
879	1615	220
880	1617	218
881	1618	216
882	1620	214
883	1622	212
884	1623	210
885	1625	209
886	1627	207
887	1628	205
888	1630	203
889	1631	201
890	1632	199
891	1633	197
892	1635	195
893	1636	194
894	1637	192
895	1639	190
896	1641	188
897	1642	186
898	1644	184
899	1645	182
900	1647	181
901	1649	179
902	1650	177
903	1652	175
904	1653	173
905	1656	171
906	1658	170
907	1659	168
908	1661	166
909	1662	164
910	1664	162
911	1665	160
912	1667	158
913	1668	156
914	1670	155
915	1672	153
916	1674	151
917	1676	149
918	1677	147
919	1679	146
920	1681	144
921	1682	142
922	1687	140
923	1688	138
924	1690	137
925	1692	135
926	1693	133
927	1695	131
928	1696	129
929	1697	127
930	1701	126
931	1703	124
932	1705	122
933	1707	120
934	1708	118
935	1710	116
936	1711	115
937	1713	113
938	1715	111
939	1717	109
940	1719	107
941	1721	105
942	1722	104
943	1723	102
944	1725	100
945	1726	98
946	1727	96
947	1728	94
948	1729	92
949	1731	91
950	1732	89
951	1734	87
952	1736	85
953	1737	83
954	1739	81
955	1740	80
956	1742	78
957	1743	76
958	1744	74
959	1747	72
960	1748	70
961	1749	69
962	1750	67
963	1752	65
964	1753	63
965	1754	61
966	1756	59
967	1757	58
968	1758	56
969	1760	54
970	1762	52
971	1763	50
972	1765	48
973	1766	47
974	1767	45
975	1769	43
976	1770	41
977	1772	39
978	1773	38
979	1775	36
980	1776	34
981	1778	32
982	1779	30
983	1780	28
984	1781	27
985	1783	25
986	1784	23
987	1785	21
988	1787	19
989	1788	18
990	1790	16
991	1792	14
992	1793	12
993	1794	10
994	1796	9
995	1797	7
996	1798	5
997	1799	3
998	1801	1
999	1802	0
